index,station,date,prcp
0,MX000017004,2010-01-05,0.0
1,MX000017004,2010-01-07,0.0
2,MX000017004,2010-01-12,0.0
3,MX000017004,2010-01-14,0.0
4,MX000017004,2010-01-15,0.0
5,MX000017004,2010-01-18,0.0
6,MX000017004,2010-01-19,0.0
7,MX000017004,2010-01-20,0.0
8,MX000017004,2010-01-21,0.0
9,MX000017004,2010-01-22,0.0
10,MX000017004,2010-01-23,0.0
11,MX000017004,2010-01-25,0.0
12,MX000017004,2010-01-26,0.0
13,MX000017004,2010-01-27,0.0
14,MX000017004,2010-01-28,0.0
15,MX000017004,2010-01-29,0.0
16,MX000017004,2010-01-30,0.0
17,MX000017004,2010-02-02,0.0
18,MX000017004,2010-02-03,0.0
19,MX000017004,2010-02-06,0.0
20,MX000017004,2010-02-07,0.0
21,MX000017004,2010-02-09,0.0
22,MX000017004,2010-02-11,0.0
23,MX000017004,2010-02-13,0.0
24,MX000017004,2010-02-20,0.0
25,MX000017004,2010-02-23,0.0
26,MX000017004,2010-02-25,0.0
27,MX000017004,2010-03-02,0.0
28,MX000017004,2010-03-04,0.0
29,MX000017004,2010-03-05,0.0
30,MX000017004,2010-03-06,0.0
31,MX000017004,2010-03-09,0.0
32,MX000017004,2010-03-10,0.0
33,MX000017004,2010-03-11,0.0
34,MX000017004,2010-03-12,0.0
35,MX000017004,2010-03-13,0.0
36,MX000017004,2010-03-16,0.0
37,MX000017004,2010-03-17,0.0
38,MX000017004,2010-03-19,0.0
39,MX000017004,2010-03-20,0.0
40,MX000017004,2010-03-23,0.0
41,MX000017004,2010-03-26,0.0
42,MX000017004,2010-03-27,0.0
43,MX000017004,2010-03-30,0.0
44,MX000017004,2010-04-01,0.0
45,MX000017004,2010-04-03,0.0
46,MX000017004,2010-04-06,0.0
47,MX000017004,2010-04-27,0.0
48,MX000017004,2010-04-30,0.0
49,MX000017004,2010-05-04,0.0
50,MX000017004,2010-05-06,0.0
51,MX000017004,2010-05-08,0.0
52,MX000017004,2010-05-11,0.0
53,MX000017004,2010-05-13,0.0
54,MX000017004,2010-05-18,0.0
55,MX000017004,2010-05-20,0.0
56,MX000017004,2010-05-27,0.0
57,MX000017004,2010-05-29,2.5
58,MX000017004,2010-05-30,0.0
59,MX000017004,2010-06-01,0.0
60,MX000017004,2010-06-02,0.0
61,MX000017004,2010-06-03,0.0
62,MX000017004,2010-06-04,0.0
63,MX000017004,2010-06-05,0.0
64,MX000017004,2010-06-08,1.3
65,MX000017004,2010-06-09,20.3
66,MX000017004,2010-06-10,0.0
67,MX000017004,2010-06-11,0.0
68,MX000017004,2010-06-12,0.0
69,MX000017004,2010-06-15,0.0
70,MX000017004,2010-06-16,0.0
71,MX000017004,2010-06-17,0.0
72,MX000017004,2010-06-18,0.0
73,MX000017004,2010-06-19,0.0
74,MX000017004,2010-06-20,14.5
75,MX000017004,2010-06-21,0.0
76,MX000017004,2010-06-22,23.4
77,MX000017004,2010-06-24,0.0
78,MX000017004,2010-06-25,1.3
79,MX000017004,2010-06-26,1.8
80,MX000017004,2010-06-27,0.0
81,MX000017004,2010-06-28,0.0
82,MX000017004,2010-06-29,0.0
83,MX000017004,2010-06-30,0.0
84,MX000017004,2010-07-03,30.7
85,MX000017004,2010-07-04,0.0
86,MX000017004,2010-07-06,7.6
87,MX000017004,2010-07-07,0.0
88,MX000017004,2010-07-13,0.0
89,MX000017004,2010-07-14,0.0
90,MX000017004,2010-07-15,0.0
91,MX000017004,2010-07-16,0.0
92,MX000017004,2010-07-17,14.7
93,MX000017004,2010-07-18,0.0
94,MX000017004,2010-07-20,0.5
95,MX000017004,2010-07-21,0.0
96,MX000017004,2010-07-22,5.8
97,MX000017004,2010-07-23,0.0
98,MX000017004,2010-07-27,0.0
99,MX000017004,2010-07-28,4.3
100,MX000017004,2010-07-29,0.0
101,MX000017004,2010-07-30,11.2
102,MX000017004,2010-07-31,0.0
103,MX000017004,2010-08-05,3.8
104,MX000017004,2010-08-06,0.5
105,MX000017004,2010-08-08,23.9
106,MX000017004,2010-08-09,0.0
107,MX000017004,2010-08-10,18.0
108,MX000017004,2010-08-12,16.8
109,MX000017004,2010-08-13,16.8
110,MX000017004,2010-08-14,18.5
111,MX000017004,2010-08-15,0.0
112,MX000017004,2010-08-17,13.2
113,MX000017004,2010-08-18,19.3
114,MX000017004,2010-08-20,11.7
115,MX000017004,2010-08-21,5.1
116,MX000017004,2010-08-22,14.5
117,MX000017004,2010-08-23,0.0
118,MX000017004,2010-08-24,0.0
119,MX000017004,2010-08-25,0.0
120,MX000017004,2010-08-26,43.2
121,MX000017004,2010-08-28,6.4
122,MX000017004,2010-08-29,18.8
123,MX000017004,2010-08-30,0.0
124,MX000017004,2010-08-31,0.0
125,MX000017004,2010-09-01,18.5
126,MX000017004,2010-09-02,5.6
127,MX000017004,2010-09-03,1.3
128,MX000017004,2010-09-04,17.5
129,MX000017004,2010-09-05,0.0
130,MX000017004,2010-09-06,27.7
131,MX000017004,2010-09-07,0.0
132,MX000017004,2010-09-08,34.5
133,MX000017004,2010-09-09,39.1
134,MX000017004,2010-09-10,35.3
135,MX000017004,2010-09-11,2.3
136,MX000017004,2010-09-12,0.0
137,MX000017004,2010-09-14,11.9
138,MX000017004,2010-09-15,0.0
139,MX000017004,2010-09-17,4.8
140,MX000017004,2010-09-18,1.0
141,MX000017004,2010-09-19,0.0
142,MX000017004,2010-09-20,36.1
143,MX000017004,2010-09-21,0.0
144,MX000017004,2010-09-22,0.0
145,MX000017004,2010-09-23,1.5
146,MX000017004,2010-09-24,14.7
147,MX000017004,2010-09-25,1.8
148,MX000017004,2010-09-26,0.0
149,MX000017004,2010-09-27,0.0
