station,date,tmin,tmax
MX000017004,2010-01-30,14.5,27.8
MX000017004,2010-02-02,14.4,27.3
MX000017004,2010-02-03,14.4,24.1
MX000017004,2010-02-11,13.4,29.7
MX000017004,2010-02-23,10.7,29.9
MX000017004,2010-03-05,14.2,32.1
MX000017004,2010-03-10,16.8,34.5
MX000017004,2010-03-16,17.6,31.1
MX000017004,2010-04-27,16.7,36.3
MX000017004,2010-05-27,18.2,33.2
MX000017004,2010-06-17,17.5,28.0
MX000017004,2010-06-29,18.0,30.1
MX000017004,2010-07-03,17.5,28.6
MX000017004,2010-07-14,16.5,29.9
MX000017004,2010-08-05,15.8,29.6
MX000017004,2010-08-08,17.3,29.0
MX000017004,2010-08-13,16.5,29.8
MX000017004,2010-08-23,15.0,26.4
MX000017004,2010-08-25,15.6,29.7
MX000017004,2010-08-29,15.3,28.0
MX000017004,2010-08-31,15.4,25.4
MX000017004,2010-10-05,14.0,27.0
MX000017004,2010-10-07,12.9,28.1
MX000017004,2010-10-14,13.0,29.5
MX000017004,2010-10-15,10.5,28.7
MX000017004,2010-10-28,15.0,31.2
MX000017004,2010-11-02,16.3,31.3
MX000017004,2010-11-04,12.0,27.2
MX000017004,2010-11-05,7.9,26.3
MX000017004,2010-11-26,12.1,28.1
MX000017004,2010-11-27,14.2,27.7
MX000017004,2010-12-01,13.8,29.9
MX000017004,2010-12-06,10.5,27.8
